IDpassageiro,Nome,Deck,NumeroCabine,PosicaoCabine,Procedencia,Destino,Idade,VIP,AllInclusive,ServicoCabine,Restaurante,Shopping,SPA,ParquedeAguas,Sobrevivente
6032_02,Lison Mcdowns,E,397,S,Outros,Grecia,40.0,0,0,521.0,4.0,53.0,70.0,141.0,0
3586_01,Garry Birds,G,586,P,Europa,Grecia,22.0,0,0,0.0,0.0,0.0,739.0,29.0,0
5900_02,Fispot Nutca,F,1220,P,Africa,Grecia,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1292_02,Izarino Conale,B,55,S,America,Grecia,43.0,0,0,105.0,368.0,268.0,842.0,13.0,1
5271_01,Kimmie Thony,F,1075,P,Europa,Grecia,28.0,0,0,89.0,3.0,571.0,258.0,0.0,0
1384_05,Fany Mayods,E,105,S,Europa,Outros,19.0,0,0,189.0,510.0,0.0,0.0,0.0,1
9085_03,Atrix Hometerval,A,95,P,America,Grecia,57.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8338_02,Rail Empie,F,1716,P,Africa,Grecia,45.0,0,0,506.0,0.0,2.0,829.0,0.0,0
6971_05,Schird Pretive,C,225,P,America,Monaco,28.0,0,0,0.0,4173.0,0.0,33.0,420.0,1
5060_04,Alhaino Honatte,C,157,P,America,Monaco,29.0,1,0,530.0,418.0,0.0,0.0,9129.0,0
2601_01,Ries Jamai,F,536,P,Africa,Grecia,24.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3438_02,Dary Pottney,F,707,P,Europa,Monaco,24.0,0,0,95.0,35.0,1442.0,0.0,0.0,0
8224_01,Nancey Pooles,G,1325,S,Europa,Grecia,31.0,0,1,0.0,0.0,0.0,0.0,0.0,0
3851_01,Alino Namsheary,C,127,P,America,Grecia,57.0,0,0,205.0,4415.0,0.0,1589.0,305.0,0
6810_01,Yots Knik,E,450,S,Africa,Grecia,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8089_01,Erie Peter,F,1671,P,Europa,Grecia,19.0,0,0,0.0,0.0,1761.0,0.0,36.0,1
5344_01,Sargin Prieress,C,168,P,America,Monaco,38.0,0,0,0.0,439.0,0.0,434.0,10074.0,0
2516_01,Enryn Romason,G,406,P,Europa,Monaco,29.0,0,0,75.0,17.0,0.0,211.0,506.0,0
7089_01,Antinon Inging,D,218,S,America,Grecia,20.0,0,0,1040.0,2487.0,0.0,174.0,182.0,1
1299_01,Naomin Moodsey,F,250,S,Europa,Grecia,22.0,0,0,0.0,0.0,675.0,5.0,0.0,1
1938_01,Gretty Charpelaney,F,369,S,Europa,Grecia,36.0,0,0,0.0,0.0,1508.0,110.0,117.0,1
4634_01,Elindy Gilleyons,E,299,S,Europa,Grecia,14.0,0,0,514.0,0.0,392.0,0.0,0.0,0
8961_05,Rena Blancoy,G,1455,P,Europa,Grecia,12.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4641_01,Vanie Peter,F,871,S,Europa,Grecia,45.0,0,0,65.0,63.0,3.0,713.0,27.0,0
7678_02,Garyan Rocknight,G,1231,P,Europa,Grecia,54.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5067_01,Kerryn Wolfernan,F,964,S,Europa,Monaco,36.0,0,0,0.0,1808.0,0.0,344.0,0.0,1
1818_01,Felia Portananney,G,297,P,Europa,Grecia,17.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6929_01,Nelly Llovers,G,1122,P,Europa,Grecia,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1
6213_01,Edgary Vincenton,F,1280,P,Europa,Monaco,25.0,0,0,258.0,0.0,306.0,311.0,24.0,1
1700_02,Solaron Waring,B,74,S,America,Grecia,64.0,0,0,0.0,4.0,0.0,6200.0,622.0,0
4001_05,Brancy Lowelliott,F,758,S,Europa,Outros,34.0,0,0,0.0,847.0,14.0,0.0,0.0,1
0444_02,Colal Curte,F,99,P,Outros,Grecia,26.0,1,0,1869.0,0.0,136.0,0.0,0.0,0
3143_01,Dous Blane,F,592,S,Africa,Monaco,24.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0193_03,Goles Raf,F,41,P,Africa,Grecia,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
6309_04,Helly Rodricker,G,1023,S,Europa,Grecia,1.0,0,0,0.0,0.0,0.0,0.0,0.0,1
8610_01,Thondy Mayson,G,1398,P,Europa,Malta,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9076_01,Shawne Simonsents,G,1461,S,Europa,Grecia,32.0,0,0,0.0,0.0,0.0,0.0,0.0,0
5397_03,Sps Jamai,D,162,S,Africa,Monaco,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6719_01,Panter Cres,F,1396,P,Africa,Grecia,41.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5880_01,Leneva Pooley,G,953,P,Europa,Grecia,11.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8701_01,Hammet Rekle,F,1789,P,Africa,Monaco,19.0,0,0,203.0,0.0,172.0,1460.0,151.0,0
6028_05,Shelik Preeldy,A,57,P,America,Grecia,28.0,0,0,0.0,6921.0,0.0,29.0,45.0,1
8276_01,Canons Oirmplathy,C,273,P,America,Grecia,26.0,0,0,0.0,0.0,0.0,0.0,0.0,1
6810_04,Shex Knik,E,450,S,Outros,Grecia,36.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2282_01,Ellena Burtiz,F,461,P,Europa,Grecia,20.0,0,0,0.0,544.0,1.0,0.0,378.0,0
6602_01,Davis Cookson,F,1265,S,Europa,Grecia,62.0,0,0,94.0,267.0,2341.0,94.0,0.0,1
4306_01,Ber Terry,F,805,S,Africa,Monaco,22.0,0,0,1371.0,0.0,235.0,0.0,0.0,1
3974_01,Karia Davens,F,752,S,Europa,Grecia,19.0,0,0,0.0,0.0,5.0,756.0,0.0,1
6827_04,Alramak Listive,A,84,S,America,Grecia,12.0,0,0,0.0,0.0,0.0,0.0,0.0,1
4204_03,Gailya Avisnydes,G,691,P,Europa,Grecia,12.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4338_02,Halsham Aroodint,C,156,S,America,Grecia,41.0,0,0,0.0,545.0,0.0,2740.0,293.0,1
9220_03,Kennie Barrilloney,F,1886,P,Europa,Malta,22.0,0,0,623.0,0.0,0.0,0.0,53.0,1
1046_01,Wena Beachez,F,196,S,Europa,Grecia,16.0,0,0,507.0,0.0,0.0,0.0,0.0,0
8288_02,Goleer Sache,F,1705,P,Africa,Grecia,15.0,0,0,1150.0,0.0,175.0,1.0,11.0,0
0789_03,Zaninon Frolestty,A,8,S,America,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3735_02,Shail Reeddommy,D,119,S,America,Monaco,30.0,0,0,0.0,787.0,116.0,1924.0,2.0,0
4815_01,Amandy Hultz,F,907,S,Europa,Monaco,21.0,0,0,564.0,9.0,0.0,0.0,30.0,1
5152_01,Porrimp Aillyber,B,199,S,America,Grecia,40.0,0,0,0.0,553.0,10.0,2787.0,52.0,0
5856_02,Alark Wincer,B,199,P,America,Grecia,27.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4150_01,Hanne Weaves,F,780,S,Europa,Grecia,46.0,0,0,0.0,1029.0,0.0,0.0,0.0,1
6660_01,Debora Horndley,F,1384,P,Europa,Grecia,47.0,0,0,590.0,0.0,47.0,3.0,53.0,0
6318_01,Bonya Pughanders,G,1018,P,Europa,Grecia,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4001_04,Carley Lowelliott,G,659,S,Europa,Monaco,2.0,0,1,0.0,0.0,0.0,0.0,0.0,0
8672_01,Cary Rilley,G,1406,P,Europa,Grecia,40.0,0,0,21.0,155.0,0.0,267.0,0.0,0
8267_02,Berers Cla,F,1701,P,Africa,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6654_03,Ernice Griffince,G,1086,S,Europa,Grecia,24.0,0,1,0.0,0.0,0.0,0.0,0.0,1
9237_01,Philda Floways,G,1488,S,Europa,Grecia,37.0,0,1,0.0,0.0,0.0,0.0,0.0,0
6302_01,Idacey Mullon,F,1305,P,Europa,Grecia,40.0,0,0,0.0,175.0,0.0,11.0,537.0,0
4305_02,Wally Conney,G,707,P,Europa,Malta,4.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7097_02,Kumark Dedometeel,A,75,P,America,Grecia,14.0,0,0,0.0,3124.0,40.0,219.0,189.0,0
8729_02,Charda Rewmid,E,559,P,America,Grecia,20.0,0,0,0.0,7759.0,18.0,4925.0,12685.0,0
4973_02,Brence Stephendsey,G,803,P,Europa,Monaco,3.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2546_01,Etha Shawatson,F,491,S,Europa,Grecia,36.0,0,0,548.0,179.0,24.0,0.0,77.0,0
7703_01,Bonyan Gordanieves,G,1251,S,Europa,Grecia,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0938_01,Earlie Solinez,F,172,S,Europa,Grecia,24.0,0,0,174.0,0.0,0.0,630.0,0.0,0
5359_01,Adammy Hinglendez,F,1099,P,Outros,Grecia,27.0,0,0,0.0,45.0,225.0,14.0,519.0,0
1550_01,Marin Supiensive,C,58,S,America,Grecia,26.0,0,0,1.0,230.0,0.0,42.0,4030.0,0
5902_01,Igrish Win,D,177,S,Africa,Malta,34.0,0,0,162.0,0.0,690.0,28.0,0.0,0
9118_02,Gwendy Malliamsey,G,1482,P,Europa,Grecia,64.0,0,0,37.0,1585.0,234.0,0.0,18.0,1
0313_01,Briney Mckinsond,F,68,P,Europa,Malta,60.0,0,0,7.0,540.0,1.0,0.0,4.0,1
8986_01,Neilda Kirklander,E,590,S,Europa,Grecia,19.0,0,0,0.0,810.0,21.0,788.0,0.0,0
3759_01,Elene Hendrys,G,619,S,Europa,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1764_01,Gies Laai,F,337,S,Africa,Grecia,59.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7894_01,Jenne Jacostarks,E,519,S,Europa,Monaco,29.0,0,0,46.0,68.0,589.0,88.0,0.0,1
1281_01,Andice Tranciams,G,193,S,Europa,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,0
3811_01,Fisps Frasp,F,786,P,Africa,Grecia,54.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1925_01,Olgary Matts,G,304,S,Europa,Grecia,50.0,0,1,0.0,0.0,0.0,0.0,0.0,0
6222_01,Ellard Lewintos,F,1190,S,Europa,Malta,29.0,0,0,25.0,0.0,2.0,0.0,657.0,0
0658_01,Ernice Jarvey,F,118,S,Europa,Malta,21.0,0,0,0.0,576.0,1.0,20.0,0.0,0
1588_02,Hyaduma Fullous,E,99,P,America,Monaco,35.0,0,0,0.0,17394.0,0.0,724.0,0.0,1
1155_02,Jayne Hessey,G,175,P,Europa,Grecia,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1089_02,Gacrab Pronfraked,D,41,P,America,Grecia,26.0,0,0,0.0,565.0,1.0,677.0,794.0,0
5531_02,Gut Brity,F,1145,P,Africa,Grecia,33.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0669_01,Elanie Hardson,F,143,P,Europa,Grecia,26.0,0,0,0.0,530.0,2.0,9.0,403.0,0
5350_01,Atinon Foraud,C,170,P,America,Grecia,35.0,0,0,25.0,866.0,0.0,3198.0,459.0,0
5414_04,Eduana Buckentry,F,1112,P,Europa,Grecia,43.0,0,0,0.0,0.0,0.0,0.0,1544.0,0
5842_01,Hekark Maging,C,220,S,America,Monaco,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8752_01,Koops Strad,D,272,P,Africa,Grecia,35.0,0,0,2758.0,0.0,1.0,0.0,0.0,0
5353_02,Weidus Reelest,B,205,S,America,Grecia,39.0,0,0,43.0,9365.0,144.0,0.0,118.0,1
8871_01,Nelly Benney,G,1432,S,Europa,Grecia,33.0,0,0,0.0,116.0,412.0,379.0,0.0,1
7810_01,Delley Coopelandez,F,1494,S,Europa,Grecia,22.0,0,0,769.0,0.0,0.0,1.0,729.0,0
2123_02,France Johnsondez,G,342,P,Europa,Malta,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1289_01,Idace Fultz,G,195,S,Europa,Grecia,8.0,0,0,0.0,0.0,0.0,0.0,0.0,0
3609_04,Fomalik Fralledic,C,118,P,America,Monaco,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1757_01,Juline Bradamss,F,334,S,Europa,Grecia,67.0,0,0,26.0,809.0,0.0,39.0,26.0,0
0835_01,Briane Frazie,G,124,S,Europa,Monaco,14.0,0,0,77.0,0.0,9.0,424.0,166.0,0
3259_01,Des Tranciams,G,530,P,Europa,Grecia,20.0,0,0,508.0,0.0,1.0,1372.0,0.0,0
5208_02,Alcorix Unressind,C,163,P,America,Monaco,41.0,0,0,717.0,641.0,2.0,1559.0,4828.0,0
4787_01,Milyla Lancock,G,780,S,Europa,Grecia,19.0,0,0,2.0,0.0,0.0,9.0,754.0,0
5522_03,Elanie Hinglendez,F,1059,S,Europa,Grecia,27.0,0,0,508.0,585.0,9.0,0.0,0.0,1
1507_02,Jerek Jeffey,F,289,S,Europa,Grecia,14.0,0,0,1.0,1.0,683.0,419.0,0.0,0
6928_02,Jodye Bookerson,G,1128,S,Europa,Grecia,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0
4662_01,Dirk Uningably,C,148,P,America,Grecia,32.0,0,0,45.0,985.0,0.0,0.0,6803.0,0
7968_01,Apsps Nutte,D,232,S,Africa,Grecia,55.0,0,0,376.0,0.0,858.0,0.0,31.0,1
3997_01,Aliedy Yanton,G,657,S,Europa,Monaco,25.0,0,0,0.0,83.0,0.0,439.0,0.0,0
1844_02,Garley Stannondez,G,289,S,Europa,Grecia,2.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1878_01,Fanna Chenson,F,375,P,Europa,Grecia,49.0,0,0,0.0,0.0,0.0,724.0,0.0,0
0122_01,Shelle Hayder,G,21,S,Europa,Grecia,29.0,0,0,0.0,0.0,0.0,699.0,74.0,0
3758_01,Ianya Litthews,G,618,S,Europa,Grecia,18.0,0,0,381.0,4.0,0.0,0.0,368.0,0
8447_01,Erine Joyneidez,F,1734,P,Europa,Grecia,25.0,0,0,1.0,0.0,1.0,14.0,1491.0,0
0174_01,Doryn Lambles,F,38,P,Europa,Monaco,21.0,0,0,287.0,0.0,16.0,115.0,175.0,0
4542_02,Arrai Stracary,B,150,P,America,Monaco,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8383_07,Elica Gibbsonton,G,1368,P,Europa,Grecia,11.0,0,0,0.0,0.0,0.0,0.0,0.0,0
3282_03,Sheratz Prighty,B,120,S,America,Grecia,43.0,0,0,0.0,1440.0,0.0,85.0,150.0,1
5606_02,Brab Dectory,B,213,S,America,Grecia,31.0,0,0,0.0,1219.0,7.0,104.0,1082.0,1
8023_01,Cella Mallisly,D,249,P,America,Grecia,14.0,0,0,0.0,4545.0,271.0,199.0,1377.0,1
1294_01,Aldhib Gulcepusy,A,14,S,America,Grecia,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3425_01,Enib Spopting,E,234,S,America,Grecia,31.0,0,0,0.0,1216.0,0.0,897.0,478.0,0
4720_01,Maya Lardy,F,887,S,Europa,Grecia,21.0,0,0,0.0,681.0,51.0,131.0,1.0,1
5934_01,Joanry Mcfaddenson,G,962,P,Europa,Grecia,29.0,0,0,89.0,1725.0,0.0,0.0,3.0,1
5387_01,Guanch Ste,D,171,P,Africa,Grecia,48.0,0,0,581.0,6.0,1.0,158.0,0.0,0
3269_01,Terion Spistory,C,122,S,America,Monaco,35.0,0,0,74.0,5082.0,0.0,893.0,1937.0,1
5063_01,Kennie Solinez,G,830,S,Europa,Grecia,18.0,0,0,0.0,794.0,16.0,0.0,0.0,1
7510_01,Pars Horte,F,1435,S,Africa,Monaco,18.0,0,0,1092.0,0.0,208.0,150.0,0.0,0
